RAM,2048
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,11,169,6213,2165121024,0,3,0,888.3620264430829,688489267,362197,0,0,683892736,166966,
2,sysbench_disk,100,100,100,11,130,6183,2165121024,0,4,0,889.4802760855476,686020589,362863,0,0,681422848,166363,
3,sysbench_disk,100,100,100,11,184,6188,2165121024,0,3,0,887.4127505261454,684980136,363082,0,0,680382464,166109,
4,sysbench_disk,100,100,100,12,179,6203,2165121024,0,3,0,888.6098568890324,687459519,362233,0,0,682864640,166715,
5,sysbench_disk,100,100,100,12,180,6188,2165121024,0,3,0,887.1733316062176,684684378,363052,0,0,680087552,166037,
6,sysbench_disk,100,100,100,11,167,6185,2165121024,0,3,0,887.868710074506,684999233,362923,0,0,680402944,166114,
7,sysbench_disk,100,100,100,12,155,6231,2165121024,0,4,0,885.6718829393793,688285696,362826,0,0,683683840,166915,
8,sysbench_disk,100,100,100,11,162,6170,2165121024,0,3,0,888.4519889592467,683783531,363277,0,0,679186432,165817,
9,sysbench_disk,100,100,100,11,179,6196,2165121024,0,3,0,887.6719573160873,686067938,362652,0,0,681472000,166375,
10,sysbench_disk,100,100,100,12,151,6226,2165121024,0,4,0,885.2058178307049,687370165,362335,0,0,682774528,166693,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,12,23,5949,2165121024,162,2,0,921.5192090281287,683774032,362778,0,0,679182336,165816,
2,sysbench_disk,100,100,100,15,19,5897,2165121024,191,2,0,926.9222441346482,681411217,363355,0,0,676818944,165239,
3,sysbench_disk,100,100,100,11,27,5964,2165121024,197,2,0,922.4047572652444,686276077,362167,0,0,681684992,166427,
4,sysbench_disk,100,100,100,12,78,6036,2165121024,152,2,0,910.9566666666666,685842007,362273,0,0,681250816,166321,
5,sysbench_disk,100,100,100,11,21,5866,2165121024,142,2,0,932.5115695986336,682373542,363120,0,0,677781504,165474,
6,sysbench_disk,100,100,100,11,21,5921,2165121024,165,2,0,926.216938071066,684134392,362690,0,0,679542784,165904,
7,sysbench_disk,100,100,100,12,23,5923,2165121024,215,2,0,924.7744517002199,683184352,362922,0,0,678592512,165672,
8,sysbench_disk,100,100,100,11,26,5924,2165121024,195,2,0,928.4506774902757,686132752,362202,0,0,681541632,166392,
9,sysbench_disk,100,100,100,15,4,5927,2165121024,300,2,0,928.4193410013532,685993522,362236,0,0,681402368,166358,
10,sysbench_disk,100,100,100,11,23,5933,2165121024,186,2,0,926.3647754137115,685633162,362324,0,0,681041920,166270,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,16,83,6165,2165121024,191,2,0,888.3472330460238,682697277,363052,0,0,678105088,165553,
2,sysbench_disk,100,100,100,15,28,6132,2165121024,169,2,0,896.5558084028119,685420410,362384,0,0,680828928,166218,
3,sysbench_disk,100,100,100,11,22,6091,2165121024,158,2,0,899.1185434210527,683221440,362926,0,0,678629376,165681,
4,sysbench_disk,100,100,100,11,22,6113,2165121024,207,2,0,899.3449819731236,685866794,362275,0,0,681275392,166327,
5,sysbench_disk,100,100,100,11,18,6123,2165121024,163,2,0,898.0825863874345,686026497,362239,0,0,681435136,166366,
6,sysbench_disk,100,100,100,11,21,6056,2165121024,274,2,0,903.1157611248966,682308248,363145,0,0,677715968,165458,
7,sysbench_disk,100,100,100,12,24,6096,2165121024,174,2,0,902.1943405654175,686010135,362245,0,0,681418752,166362,
8,sysbench_disk,100,100,100,11,22,6074,2165121024,160,2,0,900.1591172686789,682099430,363199,0,0,677507072,165407,
9,sysbench_disk,100,100,100,11,21,6092,2165121024,182,2,0,897.6022101628022,682181265,363175,0,0,677588992,165427,
10,sysbench_disk,100,100,100,15,22,6072,2165121024,147,2,0,900.8342162786859,681935547,363233,0,0,677343232,165367,
