RAM,3072
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,15,157,6934,3238862848,0,4,0,856.5599190634484,740603676,612270,0,0,733659136,179116,
2,sysbench_disk,100,100,100,15,194,6939,3238862848,0,3,0,856.2250283073369,740849228,612198,0,0,733904896,179176,
3,sysbench_disk,100,100,100,15,145,6941,3238862848,0,4,0,858.2684932139763,742832354,611836,0,0,735887360,179660,
4,sysbench_disk,100,100,100,15,165,7048,3238862848,0,4,0,847.3176817858666,744684523,611973,0,0,737734656,180111,
5,sysbench_disk,100,100,100,15,176,6645,3238862848,0,3,0,852.497602413273,706293864,620442,0,0,699342848,170738,
6,sysbench_disk,100,100,100,15,196,6853,3238862848,0,4,0,856.9601602807838,732273135,620089,0,0,725274624,177069,
7,sysbench_disk,100,100,100,15,189,6646,3238862848,0,3,0,851.5698736238878,705631455,620713,0,0,698679296,170576,
8,sysbench_disk,100,100,100,15,161,6656,3238862848,0,3,0,850.3119759072429,705651705,620683,0,0,698699776,170581,
9,sysbench_disk,100,100,100,15,209,6819,3238862848,0,4,0,855.6394579659024,727507847,620945,0,0,720510976,175906,
10,sysbench_disk,100,100,100,15,183,6661,3238862848,0,3,0,850.6973325308456,706503255,620449,0,0,699551744,170789,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,15,19,6251,3238862848,230,2,0,907.5423386786402,707320858,619748,0,0,700375040,170990,
2,sysbench_disk,100,100,100,16,16,6256,3238862848,176,2,0,907.0865602564103,707419138,619724,0,0,700473344,171014,
3,sysbench_disk,100,100,100,15,85,6333,3238862848,169,2,0,896.1056980056981,707591128,619682,0,0,700645376,171056,
4,sysbench_disk,100,100,100,15,26,6190,3238862848,214,2,0,916.7887131983805,707537893,619695,0,0,700592128,171043,
5,sysbench_disk,100,100,100,15,62,6291,3238862848,174,2,0,899.0646679413638,705207877,620264,0,0,698261504,170474,
6,sysbench_disk,100,100,100,15,20,6355,3238862848,246,2,0,897.4813160883281,711145588,618814,0,0,704200704,171924,
7,sysbench_disk,100,100,100,15,72,6242,3238862848,219,2,0,904.4610939457202,703901533,620583,0,0,696954880,170155,
8,sysbench_disk,100,100,100,15,76,6310,3238862848,191,2,0,898.9218605242256,707230768,619770,0,0,700284928,170968,
9,sysbench_disk,100,100,100,15,24,6276,3238862848,206,2,0,904.0231745727519,707402758,619728,0,0,700456960,171010,
10,sysbench_disk,100,100,100,15,20,6271,3238862848,189,2,0,904.8137544757034,707455993,619715,0,0,700510208,171023,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,15,26,6419,3238862848,229,2,0,880.5989506558401,704810829,620371,0,0,697864192,170377,
2,sysbench_disk,100,100,100,15,21,6408,3238862848,180,2,0,885.0759793524167,707177759,619792,0,0,700231680,170955,
3,sysbench_disk,100,100,100,15,76,6410,3238862848,397,2,0,884.9528694292417,707300609,619762,0,0,700354560,170985,
4,sysbench_disk,100,100,100,15,21,6332,3238862848,188,2,0,895.8177362672154,707251449,619775,0,0,700305408,170973,
5,sysbench_disk,100,100,100,15,22,6419,3238862848,156,2,0,878.2663497813867,702943536,620830,0,0,695996416,169921,
6,sysbench_disk,100,100,100,15,20,6411,3238862848,154,2,0,885.6288155096936,707951687,619600,0,0,701005824,171144,
7,sysbench_disk,100,100,100,15,25,6403,3238862848,180,2,0,886.2814702567314,707587203,619689,0,0,700641280,171055,
8,sysbench_disk,100,100,100,15,120,6509,3238862848,141,2,0,872.203510933169,707902593,619616,0,0,700956672,171132,
9,sysbench_disk,100,100,100,21,59,6408,3238862848,195,2,0,886.0561052137153,707296476,619762,0,0,700350464,170984,
10,sysbench_disk,100,100,100,21,92,6439,3238862848,217,2,0,880.5512782798379,706313696,620001,0,0,699367424,170744,
