RAM,7168
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,30,224,8661,7533830144,0,4,0,756.6727989804194,816141484,1650966,0,0,799719424,195244,
2,sysbench_disk,100,100,100,30,223,8791,7533830144,0,4,0,746.7053496176236,817521784,1650658,0,0,801099776,195581,
3,sysbench_disk,100,100,100,30,186,8707,7533830144,0,4,0,751.7789991932696,815184385,1650867,0,0,798765056,195011,
4,sysbench_disk,100,100,100,30,174,8559,7533830144,0,3,0,743.8417915347637,792814456,1650522,0,0,776441856,189561,
5,sysbench_disk,100,100,100,30,207,8564,7533830144,0,4,0,743.3564312163112,792761619,1650581,0,0,776388608,189548,
6,sysbench_disk,100,100,100,30,203,8852,7533830144,0,4,0,737.9120344593063,813518564,1651366,0,0,797097984,194604,
7,sysbench_disk,100,100,100,30,242,8749,7533830144,0,4,0,747.6147851817868,814592762,1650796,0,0,798175232,194867,
8,sysbench_disk,100,100,100,30,186,8738,7533830144,0,4,0,749.7429021589343,815881247,1650777,0,0,799461376,195181,
9,sysbench_disk,100,100,100,30,219,8698,7533830144,0,4,0,751.4067420396862,813935323,1651165,0,0,797515776,194706,
10,sysbench_disk,100,100,100,29,256,8756,7533830144,0,4,0,748.8722044230549,816712064,1650978,0,0,800288768,195383,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,30,17,7445,7533830144,292,2,0,852.8245793661497,790353411,1650352,0,0,773988352,188962,
2,sysbench_disk,100,100,100,30,97,7598,7533830144,173,2,0,835.0118414376321,789812871,1650484,0,0,773447680,188830,
3,sysbench_disk,100,100,100,30,20,7505,7533830144,199,2,0,844.8089910367893,789260046,1650619,0,0,772894720,188695,
4,sysbench_disk,100,100,100,30,20,7489,7533830144,220,2,0,847.8641211958708,790418931,1650336,0,0,774053888,188978,
5,sysbench_disk,100,100,100,30,78,7391,7533830144,203,2,0,857.1760597744872,788600751,1650780,0,0,772235264,188534,
6,sysbench_disk,100,100,100,30,19,7526,7533830144,207,2,0,842.1188452508005,788956987,1650693,0,0,772591616,188621,
7,sysbench_disk,100,100,100,30,74,7573,7533830144,211,2,0,836.9889030889566,789067581,1650666,0,0,772702208,188648,
8,sysbench_disk,100,100,100,30,19,7556,7533830144,363,2,0,839.4498145096996,789604026,1650535,0,0,773238784,188779,
9,sysbench_disk,100,100,100,29,22,7516,7533830144,215,2,0,842.1072611192734,787998786,1650927,0,0,771633152,188387,
10,sysbench_disk,100,100,100,30,21,7517,7533830144,188,2,0,842.5622983838654,788424652,1650823,0,0,772059136,188491,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,30,76,7777,7533830144,228,2,0,815.3128354201626,789419928,1650590,0,0,773054464,188734,
2,sysbench_disk,100,100,100,30,18,7733,7533830144,191,2,0,821.6795752304297,791066138,1650187,0,0,774701056,189136,
3,sysbench_disk,100,100,100,30,20,7635,7533830144,167,2,0,829.7780786324786,788699219,1650764,0,0,772333568,188558,
4,sysbench_disk,100,100,100,30,22,7711,7533830144,184,2,0,821.435516208827,788572256,1650793,0,0,772206592,188527,
5,sysbench_disk,100,100,100,30,81,7721,7533830144,251,2,0,823.3449663242751,791434668,1650098,0,0,775069696,189226,
6,sysbench_disk,100,100,100,30,84,7701,7533830144,177,2,0,823.0915134923739,789133270,1650660,0,0,772767744,188664,
7,sysbench_disk,100,100,100,30,21,7628,7533830144,185,2,0,834.3884927612529,792351912,1649870,0,0,775987200,189450,
8,sysbench_disk,100,100,100,30,24,7738,7533830144,166,2,0,819.000199273482,788998125,1650691,0,0,772632576,188631,
9,sysbench_disk,100,100,100,30,74,7699,7533830144,203,2,0,826.5227998435258,792216804,1649906,0,0,775852032,189417,
10,sysbench_disk,100,100,100,30,80,7735,7533830144,199,2,0,820.9304576249189,790550112,1650310,0,0,774184960,189010,
