RAM,6144
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,27,233,8265,6460088320,0,4,0,775.130288905074,797976611,1392357,0,0,783912960,191385,
2,sysbench_disk,100,100,100,35,253,8452,6460088320,0,4,0,764.9658158488774,804625827,1394717,0,0,790528000,193000,
3,sysbench_disk,100,100,100,26,156,8088,6460088320,0,4,0,768.8427556437609,774587503,1392313,0,0,760569856,185686,
4,sysbench_disk,100,100,100,26,228,8276,6460088320,0,4,0,772.4809037575758,796407128,1392618,0,0,782344192,191002,
5,sysbench_disk,100,100,100,26,145,8083,6460088320,0,4,0,771.6878490753382,776972351,1392361,0,0,762949632,186267,
6,sysbench_disk,100,100,100,27,186,8124,6460088320,0,3,0,764.9149986414722,773975819,1392293,0,0,759959552,185537,
7,sysbench_disk,100,100,100,26,155,8340,6460088320,0,4,0,777.9278354582632,808247659,1385373,0,0,794226688,193903,
8,sysbench_disk,100,100,100,26,193,8239,6460088320,0,4,0,776.8594228661877,797329503,1392505,0,0,783265792,191227,
9,sysbench_disk,100,100,100,26,162,8243,6460088320,0,6,0,773.1662280637702,793924540,1391742,0,0,779874304,190399,
10,sysbench_disk,100,100,100,27,157,8050,6460088320,0,4,0,775.5337255390752,777549611,1391749,0,0,763531264,186409,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,33,21,7182,6460088320,189,2,0,863.2794427192614,771339721,1392275,0,0,757329920,184895,
2,sysbench_disk,100,100,100,26,20,7150,6460088320,186,2,0,867.1688455923638,772105486,1392088,0,0,758095872,185082,
3,sysbench_disk,100,100,100,32,17,7106,6460088320,174,2,0,876.238780887758,774705811,1391453,0,0,760696832,185717,
4,sysbench_disk,100,100,100,27,20,7127,6460088320,188,2,0,871.8719290140845,773677966,1391704,0,0,759668736,185466,
5,sysbench_disk,100,100,100,26,20,7182,6460088320,160,2,0,861.6750117384014,770659951,1392441,0,0,756649984,184729,
6,sysbench_disk,100,100,100,26,21,7191,6460088320,215,2,0,862.6227338450802,772478131,1391997,0,0,758468608,185173,
7,sysbench_disk,100,100,100,26,20,7033,6460088320,260,2,0,881.2931308691309,771794266,1392164,0,0,757784576,185006,
8,sysbench_disk,100,100,100,27,72,7291,6460088320,206,2,0,851.4569724669603,773014576,1391866,0,0,759005184,185304,
9,sysbench_disk,100,100,100,26,18,7146,6460088320,171,2,0,867.8768370786516,772302046,1392040,0,0,758292480,185130,
10,sysbench_disk,100,100,100,26,20,7269,6460088320,187,2,0,854.0975010354825,773170186,1391828,0,0,759160832,185342,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,27,22,7363,6460088320,183,2,0,841.6940087241003,771724839,1392189,0,0,757714944,184989,
2,sysbench_disk,100,100,100,27,79,7469,6460088320,204,2,0,828.9306541252352,771004158,1392365,0,0,756994048,184813,
3,sysbench_disk,100,100,100,26,93,7515,6460088320,178,2,0,827.9583303511816,774963957,1391395,0,0,760954880,185780,
4,sysbench_disk,100,100,100,27,24,7367,6460088320,208,2,0,840.6283727520437,771167957,1392326,0,0,757157888,184853,
5,sysbench_disk,100,100,100,26,23,7296,6460088320,306,2,0,851.3046822558459,773514437,1391758,0,0,759504896,185426,
6,sysbench_disk,100,100,100,26,68,7389,6460088320,186,2,0,836.6409789487981,769914858,1392632,0,0,755904512,184547,
7,sysbench_disk,100,100,100,26,72,7461,6460088320,156,2,0,828.6360026899798,770004986,1392611,0,0,755994624,184569,
8,sysbench_disk,100,100,100,26,18,7427,6460088320,159,2,0,834.5983418456966,771999224,1392121,0,0,757989376,185056,
9,sysbench_disk,100,100,100,27,23,7344,6460088320,199,2,0,841.9588968156348,769968113,1392618,0,0,755957760,184560,
10,sysbench_disk,100,100,100,26,22,7232,6460088320,157,2,0,855.6966761032473,770660166,1392452,0,0,756649984,184729,
