RAM,8192
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,33,322,12565,8607571968,0,6,0,766.7190890520269,1200850835,2002971,0,0,1180516352,288212,
2,sysbench_disk,100,100,100,34,223,9128,8607571968,0,4,0,734.3149584341324,834518557,1909439,0,0,815738880,199155,
3,sysbench_disk,100,100,100,34,225,9143,8607571968,0,4,0,730.633273465803,831703359,1909913,0,0,812924928,198468,
4,sysbench_disk,100,100,100,34,178,9079,8607571968,0,6,0,729.1462040906579,824176973,1909495,0,0,805416960,196635,
5,sysbench_disk,100,100,100,33,246,9140,8607571968,0,4,0,731.7491151861207,832790955,1909461,0,0,814014464,198734,
6,sysbench_disk,100,100,100,34,229,9152,8607571968,0,4,0,731.700945821452,833742171,1909357,0,0,814964736,198966,
7,sysbench_disk,100,100,100,34,204,9080,8607571968,0,4,0,738.1732248507627,834475422,1909208,0,0,815697920,199145,
8,sysbench_disk,100,100,100,34,238,9100,8607571968,0,4,0,733.7957979263182,831360144,1910082,0,0,812580864,198384,
9,sysbench_disk,100,100,100,34,235,9153,8607571968,0,4,0,731.1456528128084,833200667,1909381,0,0,814424064,198834,
10,sysbench_disk,100,100,100,34,180,9149,8607571968,0,4,0,732.4206894130555,834287831,1908881,0,0,815513600,199100,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,40,18,7794,8607571968,195,2,0,833.4791839050812,807741328,1908826,0,0,789020672,192632,
2,sysbench_disk,100,100,100,34,80,7851,8607571968,164,2,0,828.3041125751568,809248317,1908458,0,0,790528000,193000,
3,sysbench_disk,100,100,100,34,22,7916,8607571968,251,2,0,818.8175123065212,806631583,1909097,0,0,787910656,192361,
4,sysbench_disk,100,100,100,37,23,7791,8607571968,329,2,0,833.0355594531854,807311353,1908931,0,0,788590592,192527,
5,sysbench_disk,100,100,100,34,18,7835,8607571968,247,2,0,828.4281769003974,807712663,1908833,0,0,788992000,192625,
6,sysbench_disk,100,100,100,34,22,7899,8607571968,209,2,0,820.2958606484424,806344933,1909167,0,0,787623936,192291,
7,sysbench_disk,100,100,100,34,24,7884,8607571968,207,2,0,823.207058343949,807663523,1908845,0,0,788942848,192613,
8,sysbench_disk,100,100,100,34,21,7895,8607571968,186,2,0,819.8713629309249,805517743,1909369,0,0,786796544,192089,
9,sysbench_disk,100,100,100,34,107,7897,8607571968,205,2,0,820.9335439399721,806766718,1909064,0,0,788045824,192394,
10,sysbench_disk,100,100,100,34,23,7928,8607571968,248,2,0,821.8638885229288,810865813,1908063,0,0,792145920,193395,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,34,25,8007,8607571968,191,2,0,809.8750322337889,807033081,1909007,0,0,788312064,192459,
2,sysbench_disk,100,100,100,33,69,7947,8607571968,207,2,0,817.2538802122821,808359844,1908682,0,0,789639168,192783,
3,sysbench_disk,100,100,100,34,20,8078,8607571968,199,2,0,803.406811536549,807716966,1908839,0,0,788996096,192626,
4,sysbench_disk,100,100,100,34,17,8028,8607571968,175,2,0,809.4481871403552,808732496,1908595,0,0,790011904,192874,
5,sysbench_disk,100,100,100,34,77,8076,8607571968,158,2,0,802.4374016413827,806541663,1909125,0,0,787820544,192339,
6,sysbench_disk,100,100,100,34,20,8070,8607571968,172,2,0,803.5910632155301,807098648,1908993,0,0,788377600,192475,
7,sysbench_disk,100,100,100,38,87,8105,8607571968,263,2,0,801.9810626007189,808589137,1908623,0,0,789868544,192839,
8,sysbench_disk,100,100,100,34,78,8109,8607571968,174,2,0,798.9107705263158,806291922,1909192,0,0,787570688,192278,
9,sysbench_disk,100,100,100,34,81,8120,8607571968,182,2,0,798.5045471184764,806979864,1909022,0,0,788258816,192446,
10,sysbench_disk,100,100,100,39,21,7853,8607571968,284,2,0,828.0607586383414,808699757,1908601,0,0,789979136,192866,
