RAM,5120
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,22,213,7804,5386346496,0,4,0,802.2091667951684,780135245,1134127,0,0,768425984,187604,
2,sysbench_disk,100,100,100,22,715,8312,5386346496,0,4,0,751.6924525934862,778727562,1134580,0,0,767016960,187260,
3,sysbench_disk,100,100,100,23,126,7628,5386346496,0,4,0,798.3734522024984,758740069,1134015,0,0,747073536,182391,
4,sysbench_disk,100,100,100,23,163,7639,5386346496,0,3,0,797.6701596638655,759168288,1133258,0,0,747507712,182497,
5,sysbench_disk,100,100,100,23,191,7937,5386346496,0,4,0,788.8469365681071,780153070,1134280,0,0,768442368,187608,
6,sysbench_disk,100,100,100,22,168,7611,5386346496,0,3,0,797.3444975622612,756167240,1134058,0,0,744505344,181764,
7,sysbench_disk,100,100,100,23,192,7601,5386346496,0,3,0,798.3290725785168,756003530,1134108,0,0,744341504,181724,
8,sysbench_disk,100,100,100,23,134,7666,5386346496,0,4,0,790.785965720267,755283438,1134352,0,0,743620608,181548,
9,sysbench_disk,100,100,100,22,179,7659,5386346496,0,3,0,793.9452245646196,757706266,1133604,0,0,746045440,182140,
10,sysbench_disk,100,100,100,22,210,7896,5386346496,0,4,0,796.0871455422911,783335011,1133517,0,0,771624960,188385,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,22,19,6990,5386346496,182,2,0,866.2578323765786,754402225,1133691,0,0,742748160,181335,
2,sysbench_disk,100,100,100,29,22,6884,5386346496,201,2,0,883.2854231947483,756756850,1133116,0,0,745103360,181910,
3,sysbench_disk,100,100,100,23,23,6902,5386346496,178,2,0,878.2512144207006,755077900,1133526,0,0,743424000,181500,
4,sysbench_disk,100,100,100,23,4,6982,5386346496,217,2,0,868.2820359247019,755188465,1133499,0,0,743534592,181527,
5,sysbench_disk,100,100,100,23,74,6938,5386346496,362,2,0,875.7824173535791,756896080,1133082,0,0,745242624,181944,
6,sysbench_disk,100,100,100,23,20,6992,5386346496,202,2,0,867.9386356722629,755974705,1133307,0,0,744321024,181719,
7,sysbench_disk,100,100,100,22,20,6821,5386346496,220,2,0,887.2744803647596,753964060,1133798,0,0,742309888,181228,
8,sysbench_disk,100,100,100,22,97,6986,5386346496,214,2,0,865.0007501435956,752874790,1134064,0,0,741220352,180962,
9,sysbench_disk,100,100,100,22,19,6944,5386346496,173,2,0,869.6671297312915,752371105,1134187,0,0,740716544,180839,
10,sysbench_disk,100,100,100,27,23,6933,5386346496,226,2,0,873.4276327830872,753878065,1133819,0,0,742223872,181207,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,23,26,7070,5386346496,206,2,0,857.5329167021428,755270655,1133494,0,0,743616512,181547,
2,sysbench_disk,100,100,100,23,79,7128,5386346496,343,2,0,849.822409007741,754639952,1133641,0,0,742985728,181393,
3,sysbench_disk,100,100,100,23,24,7097,5386346496,167,2,0,859.6826350014136,760065827,1132316,0,0,748412928,182718,
4,sysbench_disk,100,100,100,22,22,6976,5386346496,192,2,0,868.7984089732528,755094450,1133528,0,0,743440384,181504,
5,sysbench_disk,100,100,100,29,22,7051,5386346496,160,2,0,862.0739584164056,756576858,1133168,0,0,744923136,181866,
6,sysbench_disk,100,100,100,29,21,6999,5386346496,183,2,0,866.3152619799139,754668597,1133635,0,0,743014400,181400,
7,sysbench_disk,100,100,100,22,12,6949,5386346496,195,2,0,875.8785436696983,758292719,1132752,0,0,746639360,182285,
8,sysbench_disk,100,100,100,23,25,7046,5386346496,174,2,0,859.9733902890503,754840589,1133590,0,0,743186432,181442,
9,sysbench_disk,100,100,100,23,112,7185,5386346496,272,2,0,848.749215302988,759734136,1132399,0,0,748081152,182637,
10,sysbench_disk,100,100,100,23,23,6955,5386346496,281,2,0,869.8024535487593,753575243,1133900,0,0,741920768,181133,
