RAM,1024
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,8,174,5754,1091379200,0,3,0,926.6754973894884,665371362,105012,0,0,663130112,161897,
2,sysbench_disk,100,100,100,8,153,5754,1091379200,0,4,0,926.3104726766446,665109163,105061,0,0,662867968,161833,
3,sysbench_disk,100,100,100,8,406,6062,1091379200,0,4,0,911.4961162867526,689561344,108770,0,0,687239168,167783,
4,sysbench_disk,100,100,100,8,181,5751,1091379200,0,3,0,927.0114072784258,665265000,105050,0,0,663023616,161871,
5,sysbench_disk,100,100,100,8,141,5736,1091379200,0,4,0,928.9005195530726,664879428,105070,0,0,662638592,161777,
6,sysbench_disk,100,100,100,7,160,5741,1091379200,0,3,0,928.0275242413672,664950414,105664,0,0,662704128,161793,
7,sysbench_disk,100,100,100,8,149,5751,1091379200,0,3,0,928.1293818561727,666067556,104846,0,0,663826432,162067,
8,sysbench_disk,100,100,100,8,172,5745,1091379200,0,3,0,928.2381425832317,665449404,105014,0,0,663207936,161916,
9,sysbench_disk,100,100,100,8,137,5745,1091379200,0,4,0,927.8556276799721,665175143,105097,0,0,662933504,161849,
10,sysbench_disk,100,100,100,8,163,5751,1091379200,0,3,0,928.0033849904231,665977116,104830,0,0,663736320,162045,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,8,23,5661,1091379200,187,2,0,934.955883247833,660554806,105728,0,0,658317312,160722,
2,sysbench_disk,100,100,100,8,23,5721,1091379200,177,2,0,931.3927435673025,665022480,104637,0,0,662786048,161813,
3,sysbench_disk,100,100,100,7,20,5676,1091379200,187,2,0,936.2755350149938,663359881,105043,0,0,661123072,161407,
4,sysbench_disk,100,100,100,8,83,5750,1091379200,194,2,0,920.5213012887496,660595785,105718,0,0,658358272,160732,
5,sysbench_disk,100,100,100,7,26,5731,1091379200,206,2,0,929.6372396925227,665047050,104631,0,0,662810624,161819,
6,sysbench_disk,100,100,100,7,22,5723,1091379200,190,2,0,928.6573100069979,663417269,105029,0,0,661180416,161421,
7,sysbench_disk,100,100,100,11,20,5683,1091379200,197,2,0,935.6474400564175,663265696,105066,0,0,661028864,161384,
8,sysbench_disk,100,100,100,8,24,5672,1091379200,213,2,0,931.6710155367232,659514676,105982,0,0,657276928,160468,
9,sysbench_disk,100,100,100,8,22,5713,1091379200,222,2,0,930.5512287467134,663490950,105011,0,0,661254144,161439,
10,sysbench_disk,100,100,100,8,81,5744,1091379200,169,2,0,925.2764728033472,663314836,105054,0,0,661078016,161396,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,8,22,5753,1091379200,196,2,0,924.2208988685813,663597590,104991,0,0,661360640,161465,
2,sysbench_disk,100,100,100,7,21,5738,1091379200,164,2,0,923.3921828651196,661386342,105540,0,0,659148800,160925,
3,sysbench_disk,100,100,100,7,24,5722,1091379200,149,2,0,923.1570491688539,659371632,106031,0,0,657133568,160433,
4,sysbench_disk,100,100,100,7,24,5758,1091379200,204,2,0,922.8695058250739,663319155,105065,0,0,661082112,161397,
5,sysbench_disk,100,100,100,7,23,5752,1091379200,273,2,0,924.1242095735422,663528029,105014,0,0,661291008,161448,
6,sysbench_disk,100,100,100,11,25,5750,1091379200,189,2,0,923.5949106116049,662455166,105279,0,0,660217856,161186,
7,sysbench_disk,100,100,100,7,27,5750,1091379200,135,2,0,924.3658269197283,663470607,105021,0,0,661233664,161434,
8,sysbench_disk,100,100,100,11,27,5765,1091379200,171,2,0,922.428186305179,663347850,105057,0,0,661110784,161404,
9,sysbench_disk,100,100,100,8,20,5749,1091379200,186,2,0,924.8250660163735,663568941,105003,0,0,661331968,161458,
10,sysbench_disk,100,100,100,8,21,5774,1091379200,196,2,0,923.1788622962192,665272488,104590,0,0,663035904,161874,
