RAM,3072
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk16,100,100,100,16,201,7233,3238862848,0,4,0,862.3195033947624,777694885,608991,0,0,770707456,188161,
2,sysbench_disk16,100,100,100,16,187,7688,3238862848,0,4,0,867.5087528675704,831715187,595685,0,0,824741888,201353,
3,sysbench_disk16,100,100,100,15,212,7651,3238862848,0,4,0,865.5625688842325,825953795,597125,0,0,818978816,199946,
4,sysbench_disk16,100,100,100,16,176,7628,3238862848,0,4,0,869.0589847609039,826683987,596637,0,0,819712000,200125,
5,sysbench_disk16,100,100,100,17,452,7997,3238862848,0,4,0,845.0906646616542,842752551,597249,0,0,835743744,204039,
6,sysbench_disk16,100,100,100,15,278,7835,3238862848,0,4,0,870.4442772378517,850633594,596484,0,0,843616256,205961,
7,sysbench_disk16,100,100,100,16,199,7646,3238862848,0,4,0,866.8227785058978,826506558,596528,0,0,819535872,200082,
8,sysbench_disk16,100,100,100,15,263,7825,3238862848,0,4,0,869.4111303457107,848537159,596561,0,0,841523200,205450,
9,sysbench_disk16,100,100,100,15,373,7811,3238862848,0,4,0,846.7765561826577,824958243,596861,0,0,817987584,199704,
10,sysbench_disk16,100,100,100,15,304,7861,3238862848,0,4,0,864.0535559520775,847194828,596982,0,0,840179712,205122,
11,sysbench_disk16,100,100,100,16,173,7681,3238862848,0,4,0,866.4091689497717,829902598,595840,0,0,822931456,200911,
12,sysbench_disk16,100,100,100,16,607,8088,3238862848,0,4,0,821.53878592666,828706958,596144,0,0,821735424,200619,
13,sysbench_disk16,100,100,100,16,216,7644,3238862848,0,4,0,868.860333508128,828232911,596825,0,0,821256192,200502,
14,sysbench_disk16,100,100,100,16,268,7803,3238862848,0,4,0,869.8353204058045,846450268,596334,0,0,839442432,204942,
15,sysbench_disk16,100,100,100,15,251,7799,3238862848,0,4,0,869.6750883864337,845968154,597028,0,0,838955008,204823,
16,sysbench_disk16,100,100,100,16,300,7784,3238862848,0,5,0,870.1872667353244,844726399,596769,0,0,837718016,204521,
17,sysbench_disk16,100,100,100,16,266,7825,3238862848,0,4,0,868.6337067486234,847669390,596360,0,0,840658944,205239,
18,sysbench_disk16,100,100,100,16,198,7641,3238862848,0,4,0,869.6391354754098,828649184,596114,0,0,821678080,200605,
19,sysbench_disk16,100,100,100,16,255,7801,3238862848,0,5,0,870.6228470134874,846999431,596705,0,0,839987200,205075,
20,sysbench_disk16,100,100,100,15,263,7893,3238862848,0,4,0,864.4425661335364,851034120,596298,0,0,844017664,206059,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk17,100,100,100,15,888,7544,3238862848,373,2,0,799.885575242396,752681173,608671,0,0,745746432,182067,
2,sysbench_disk17,100,100,100,15,83,7137,3238862848,349,2,0,906.8203594495927,807185710,595361,0,0,800264192,195377,
3,sysbench_disk17,100,100,100,21,22,7071,3238862848,422,2,0,913.9857452482269,805338807,595812,0,0,798416896,194926,
4,sysbench_disk17,100,100,100,16,23,7003,3238862848,449,2,0,920.0467428080722,803434661,596277,0,0,796512256,194461,
5,sysbench_disk17,100,100,100,15,25,7018,3238862848,475,2,0,915.769409681565,801530486,596742,0,0,794607616,193996,
6,sysbench_disk17,100,100,100,16,17,7026,3238862848,451,2,0,914.7006847360913,801395322,596775,0,0,794472448,193963,
7,sysbench_disk17,100,100,100,21,18,6970,3238862848,441,2,0,923.2345799395597,801833458,596668,0,0,794910720,194070,
8,sysbench_disk17,100,100,100,16,17,7067,3238862848,412,2,0,910.1391734505744,802062807,596612,0,0,795140096,194126,
9,sysbench_disk17,100,100,100,20,24,6966,3238862848,409,2,0,927.1423207601497,804880167,595924,0,0,797958144,194814,
10,sysbench_disk17,100,100,100,15,23,7080,3238862848,419,2,0,910.158062561925,803672200,596219,0,0,796749824,194519,
11,sysbench_disk17,100,100,100,15,19,7039,3238862848,448,2,0,916.147076309795,804265956,596074,0,0,797343744,194664,
12,sysbench_disk17,100,100,100,17,20,6973,3238862848,539,2,0,923.3134376078206,802709817,596454,0,0,795787264,194284,
13,sysbench_disk17,100,100,100,20,20,7046,3238862848,414,2,0,916.1939641332194,804536226,596008,0,0,797614080,194730,
14,sysbench_disk17,100,100,100,16,20,6955,3238862848,419,2,0,927.0531811500216,803991552,596141,0,0,797069312,194597,
15,sysbench_disk17,100,100,100,15,24,7075,3238862848,420,2,0,911.698121246459,804462477,596026,0,0,797540352,194712,
16,sysbench_disk17,100,100,100,16,18,7037,3238862848,450,2,0,917.5230183734511,805129962,595863,0,0,798208000,194875,
17,sysbench_disk17,100,100,100,16,19,7037,3238862848,422,2,0,917.4063683236006,805027587,595888,0,0,798105600,194850,
18,sysbench_disk17,100,100,100,15,31,7020,3238862848,421,2,0,919.2678886509635,804822808,595938,0,0,797900800,194800,
19,sysbench_disk17,100,100,100,21,22,7037,3238862848,444,2,0,913.33482668187,800883418,596900,0,0,793960448,193838,
20,sysbench_disk17,100,100,100,15,22,7029,3238862848,433,2,0,918.1444334188765,804871977,595926,0,0,797949952,194812,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk18,100,100,100,16,22,6778,3238862848,301,2,0,887.8736456669625,750363674,609251,0,0,743428096,181501,
2,sysbench_disk18,100,100,100,16,69,7295,3238862848,367,2,0,889.3500107157577,809085918,594908,0,0,802164736,195841,
3,sysbench_disk18,100,100,100,16,23,7125,3238862848,413,2,0,902.5253588409059,801895080,596662,0,0,794972160,194085,
4,sysbench_disk18,100,100,100,16,24,7212,3238862848,412,2,0,894.0266147859921,804065457,596135,0,0,797143040,194615,
5,sysbench_disk18,100,100,100,16,18,7210,3238862848,425,2,0,894.1930597720321,803991758,596151,0,0,797069312,194597,
6,sysbench_disk18,100,100,100,16,22,7199,3238862848,419,2,0,896.5748862592233,804900801,595927,0,0,797978624,194819,
7,sysbench_disk18,100,100,100,15,23,7180,3238862848,416,2,0,896.1024055826937,802460208,596526,0,0,795537408,194223,
8,sysbench_disk18,100,100,100,15,22,7206,3238862848,464,2,0,892.4160133500209,802058909,596622,0,0,795136000,194125,
9,sysbench_disk18,100,100,100,16,381,7528,3238862848,557,2,0,855.7643642172524,803451301,596289,0,0,796528640,194465,
10,sysbench_disk18,100,100,100,23,24,7172,3238862848,399,2,0,898.2133210239194,802554420,596506,0,0,795631616,194246,
11,sysbench_disk18,100,100,100,16,23,7128,3238862848,482,2,0,903.3331001124859,802951617,596407,0,0,796028928,194343,
12,sysbench_disk18,100,100,100,15,23,7142,3238862848,429,2,0,900.5492285674197,802165379,596596,0,0,795242496,194151,
13,sysbench_disk18,100,100,100,16,18,7252,3238862848,582,2,0,889.5507882808181,804487251,596033,0,0,797564928,194718,
14,sysbench_disk18,100,100,100,22,20,7280,3238862848,416,2,0,887.409666574814,804990983,595912,0,0,798068736,194841,
15,sysbench_disk18,100,100,100,16,21,6782,3238862848,376,2,0,894.9989098433343,756833859,607674,0,0,749899776,183081,
16,sysbench_disk18,100,100,100,15,25,7181,3238862848,421,2,0,897.9066290817751,804188404,596105,0,0,797265920,194645,
17,sysbench_disk18,100,100,100,15,21,7251,3238862848,434,2,0,887.0561415146491,802230899,596580,0,0,795308032,194167,
18,sysbench_disk18,100,100,100,22,22,7184,3238862848,348,2,0,896.7887953085731,802738764,596459,0,0,795815936,194291,
19,sysbench_disk18,100,100,100,16,25,7175,3238862848,376,2,0,900.1480988964939,805408647,595806,0,0,798486528,194943,
20,sysbench_disk18,100,100,100,16,22,7181,3238862848,516,2,0,898.6628812281926,804753466,595966,0,0,797831168,194783,
