RAM,4096,,,,,,,,,,,,,,,,,
EXPERIMENT,Precopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
14,sysbench_disk14,100,100,100,27,28,7336,4312604672,475,2,0,908.3123623,829745641,852572,0,0,820469760,200310
15,sysbench_disk14,100,100,100,24,27,7276,4312604672,614,2,0,914.5119129,828893862,852780,0,0,819617792,200102
16,sysbench_disk14,100,100,100,26,21,7263,4312604672,417,2,0,914.8003648,827440127,853135,0,0,818163712,199747
17,sysbench_disk14,100,100,100,20,19,7291,4312604672,455,2,0,912.1131553,828885633,852782,0,0,819609600,200100
18,sysbench_disk14,100,100,100,20,20,7340,4312604672,533,2,0,905.9538306,828836522,852794,0,0,819560448,200088
19,sysbench_disk14,100,100,100,19,22,7326,4312604672,428,2,0,906.2699877,827653077,853083,0,0,818376704,199799
20,sysbench_disk14,100,100,100,19,21,7266,4312604672,452,2,0,917.7149088,831223878,852211,0,0,821948416,200671
EXPERIMENT,Hybrid,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk15,100,100,100,19,21,7100,4312604672,400,2,0,875.8143686,775093834,865925,0,0,765804544,186964
2,sysbench_disk15,100,100,100,20,94,7637,4312604672,358,2,0,876.3195536,834254326,851481,0,0,824979456,201411
3,sysbench_disk15,100,100,100,23,23,7501,4312604672,458,2,0,885.7174132,827812939,853053,0,0,818536448,199838
4,sysbench_disk15,100,100,100,24,26,7492,4312604672,426,2,0,885.460151,826465654,853385,0,0,817188864,199509
5,sysbench_disk15,100,100,100,19,23,7412,4312604672,647,2,0,894.092916,826142227,853463,0,0,816865280,199430
6,sysbench_disk15,100,100,100,20,24,7591,4312604672,431,2,0,875.5904139,828525479,852880,0,0,819249152,200012
7,sysbench_disk15,100,100,100,19,23,7489,4312604672,393,2,0,885.8373644,827039028,853250,0,0,817762304,199649
8,sysbench_disk15,100,100,100,26,26,7514,4312604672,448,2,0,883.572094,826912051,853271,0,0,817635328,199618
9,sysbench_disk15,100,100,100,19,22,7444,4312604672,430,2,0,888.8056329,824811323,853788,0,0,815534080,199105
10,sysbench_disk15,100,100,100,19,23,7472,4312604672,448,2,0,888.8819439,827993118,853012,0,0,818716672,199882
11,sysbench_disk15,100,100,100,19,23,7407,4312604672,382,2,0,894.8399762,826273209,853431,0,0,816996352,199462
12,sysbench_disk15,100,100,100,20,22,7490,4312604672,483,2,0,886.9555041,828083203,852991,0,0,818806784,199904
13,sysbench_disk15,100,100,100,19,22,7480,4312604672,444,2,0,891.1559094,831002905,852276,0,0,821727232,200617
14,sysbench_disk15,100,100,100,20,23,7501,4312604672,405,2,0,886.500794,828877618,852797,0,0,819601408,200098
15,sysbench_disk15,100,100,100,19,23,7515,4312604672,375,2,0,885.8893148,829966843,852526,0,0,820690944,200364
16,sysbench_disk15,100,100,100,19,21,7486,4312604672,418,2,0,886.5746779,827395219,853158,0,0,818118656,199736
17,sysbench_disk15,100,100,100,19,26,7519,4312604672,451,2,0,882.8572331,827567211,853113,0,0,818290688,199778
18,sysbench_disk15,100,100,100,19,22,7618,4312604672,440,2,0,873.8385524,829925902,852537,0,0,820649984,200354
19,sysbench_disk15,100,100,100,20,21,7508,4312604672,427,2,0,889.6533835,832604068,851887,0,0,823328768,201008
20,sysbench_disk15,100,100,100,25,22,7465,4312604672,416,2,0,891.4917527,828975891,852769,0,0,819699712,200122
