RAM,4096,,,,,,,,,,,,,,,,,
EXPERIMENT,Precopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk13,100,100,100,19,166,7668,4312604672,0,4,0,834.1766129,797351677,866015,0,0,788017152,192387
2,sysbench_disk13,100,100,100,19,193,8190,4312604672,0,4,0,839.1360333,856846819,852269,0,0,847519744,206914
3,sysbench_disk13,100,100,100,20,287,8323,4312604672,0,4,0,841.4638468,873108813,853399,0,0,863739904,210874
4,sysbench_disk13,100,100,100,20,208,8121,4312604672,0,4,0,841.7190984,852120055,853753,0,0,842788864,205759
5,sysbench_disk13,100,100,100,20,286,8397,4312604672,0,4,0,835.8533231,875017374,852960,0,0,865648640,211340
6,sysbench_disk13,100,100,100,19,317,8271,4312604672,0,4,0,844.0727009,870435234,852276,0,0,861081600,210225
7,sysbench_disk13,100,100,100,21,288,8390,4312604672,0,4,0,832.9517859,871146170,853748,0,0,861777920,210395
8,sysbench_disk13,100,100,100,19,281,8269,4312604672,0,5,0,845.1947093,871381277,853423,0,0,862015488,210453
9,sysbench_disk13,100,100,100,20,243,8280,4312604672,0,5,0,843.2711332,870451928,853674,0,0,861085696,210226
10,sysbench_disk13,100,100,100,25,281,8361,4312604672,0,4,0,836.6616132,871575894,853616,0,0,862208000,210500
11,sysbench_disk13,100,100,100,19,303,8398,4312604672,0,4,0,833.1708557,872416788,853566,0,0,863047680,210705
12,sysbench_disk13,100,100,100,20,242,8356,4312604672,0,4,0,837.4308628,872377432,853754,0,0,863006720,210695
13,sysbench_disk13,100,100,100,19,345,8339,4312604672,0,5,0,840.1380346,873518049,853267,0,0,864149504,210974
14,sysbench_disk13,100,100,100,20,156,8127,4312604672,0,4,0,840.2227981,851235031,853001,0,0,841912320,205545
15,sysbench_disk13,100,100,100,19,254,8311,4312604672,0,4,0,843.8689522,874444652,853166,0,0,865075200,211200
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
EXPERIMENT,Postcopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk14,100,100,100,19,46,6862,4312604672,431,2,0,904.5035534,773578534,866288,0,0,764289024,186594
2,sysbench_disk14,100,100,100,19,77,7405,4312604672,447,2,0,901.5885297,832280417,851953,0,0,823005184,200929
3,sysbench_disk14,100,100,100,25,17,7285,4312604672,446,2,0,909.0414843,824843954,853769,0,0,815566848,199113
4,sysbench_disk14,100,100,100,26,19,7326,4312604672,626,2,0,910.5674247,830781628,852319,0,0,821506048,200563
5,sysbench_disk14,100,100,100,19,24,7342,4312604672,462,2,0,904.2495873,827616241,853092,0,0,818339840,199790
6,sysbench_disk14,100,100,100,20,20,7310,4312604672,439,2,0,908.9988071,828214024,852946,0,0,818937856,199936
7,sysbench_disk14,100,100,100,19,26,7404,4312604672,461,2,0,901.4488482,832038783,852012,0,0,822763520,200870
8,sysbench_disk14,100,100,100,20,19,7213,4312604672,441,2,0,918.7795067,825986373,853490,0,0,816709632,199392
9,sysbench_disk14,100,100,100,26,20,7351,4312604672,485,2,0,906.1805816,829610448,852605,0,0,820334592,200277
10,sysbench_disk14,100,100,100,26,22,7328,4312604672,412,2,0,907.0564711,827804553,853046,0,0,818528256,199836
11,sysbench_disk14,100,100,100,20,22,7406,4312604672,497,2,0,898.5412824,829467094,852640,0,0,820191232,200242
12,sysbench_disk14,100,100,100,20,18,7222,4312604672,440,2,0,920.6243221,828680941,852832,0,0,819404800,200050
13,sysbench_disk14,100,100,100,20,21,7254,4312604672,433,2,0,917.2628643,829323798,852675,0,0,820047872,200207
