RAM,8192,,,,,,,,,,,,,,,,,
EXPERIMENT,Precopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk1,100,100,100,34,323,11456,8607571968,0,4,0,780.3822756,1113964477,1850175,0,0,1095172096,267376
2,sysbench_disk1,100,100,100,34,255,10166,8607571968,0,4,0,758.2181863,960057226,1882676,0,0,941273088,229803
3,sysbench_disk1,100,100,100,34,279,10156,8607571968,0,4,0,754.4935776,954396872,1884850,0,0,935604224,228419
4,sysbench_disk1,100,100,100,35,256,10136,8607571968,0,4,0,757.2686665,955920513,1884059,0,0,937132032,228792
5,sysbench_disk1,100,100,100,34,277,10198,8607571968,0,4,0,752.6278804,955987605,1883759,0,0,937201664,228809
6,sysbench_disk1,100,100,100,34,269,10259,8607571968,0,4,0,743.6038838,950192857,1884683,0,0,931409920,227395
7,sysbench_disk1,100,100,100,35,257,10167,8607571968,0,4,0,754.1933849,954959825,1884475,0,0,936169472,228557
8,sysbench_disk1,100,100,100,35,284,10285,8607571968,0,4,0,746.7414751,956536378,1884084,0,0,937746432,228942
9,sysbench_disk1,100,100,100,35,315,10143,8607571968,0,4,0,754.8426371,953517575,1884737,0,0,934727680,228205
10,sysbench_disk1,100,100,100,34,252,10183,8607571968,0,4,0,754.9481793,957519997,1883479,0,0,938733568,229183
11,sysbench_disk1,100,100,100,35,267,10118,8607571968,0,4,0,757.4133801,954398782,1884608,0,0,935608320,228420
12,sysbench_disk1,100,100,100,35,284,10158,8607571968,0,4,0,753.8755634,953709204,1884598,0,0,934920192,228252
13,sysbench_disk1,100,100,100,35,286,10263,8607571968,0,4,0,746.1397176,953713512,1884162,0,0,934928384,228254
14,sysbench_disk1,100,100,100,35,267,10182,8607571968,0,4,0,753.645593,955679102,1884136,0,0,936890368,228733
15,sysbench_disk1,100,100,100,35,693,10533,8607571968,0,4,0,728.5455873,955807840,1884306,0,0,937017344,228764
16,sysbench_disk1,100,100,100,34,532,10441,8607571968,0,5,0,736.2233158,957508369,1884011,0,0,938717184,229179
17,sysbench_disk1,100,100,100,35,248,10142,8607571968,0,4,0,757.3098439,956540477,1884087,0,0,937750528,228943
18,sysbench_disk1,100,100,100,35,301,10166,8607571968,0,4,0,756.0768848,957251028,1883694,0,0,938463232,229117
19,sysbench_disk1,100,100,100,34,271,10237,8607571968,0,4,0,753.7846563,961132229,1882647,0,0,942346240,230065
20,sysbench_disk1,100,100,100,34,293,10162,8607571968,0,4,0,754.4492496,954906643,1884037,0,0,936120320,228545
EXPERIMENT,Postcopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk2,100,100,100,34,20,8122,8607571968,360,2,0,847.6276499,856840407,1896836,0,0,838131712,204622
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,sysbench_disk2,100,100,100,35,281,10123,8607571968,611,2,0,833.2457843,1050611741,1849517,0,0,1031950336,251941
8,sysbench_disk2,100,100,100,34,20,8740,8607571968,491,2,0,839.473269,913445592,1883013,0,0,894750720,218445
9,sysbench_disk2,100,100,100,36,22,8524,8607571968,447,2,0,858.6214713,910886202,1883638,0,0,892190720,217820
10,sysbench_disk2,100,100,100,35,20,8610,8607571968,466,2,0,852.1870983,913326837,1883042,0,0,894631936,218416
11,sysbench_disk2,100,100,100,34,25,8814,8607571968,449,2,0,830.2487426,911086872,1883589,0,0,892391424,217869
12,sysbench_disk2,100,100,100,38,27,8675,8607571968,481,2,0,844.1428802,911246548,1883550,0,0,892551168,217908
13,sysbench_disk2,100,100,100,44,19,8671,8607571968,571,2,0,843.8796263,909907483,1883877,0,0,891211776,217581
14,sysbench_disk2,100,100,100,34,19,8333,8607571968,414,2,0,877.0702581,909739588,1883918,0,0,891043840,217540
15,sysbench_disk2,100,100,100,40,22,8773,8607571968,466,2,0,834.2519473,910579121,1883713,0,0,891883520,217745
16,sysbench_disk2,100,100,100,35,20,8756,8607571968,498,2,0,840.2043564,915816597,1882434,0,0,897122304,219024
17,sysbench_disk2,100,100,100,42,19,8531,8607571968,440,2,0,858.5396386,910906721,1883633,0,0,892211200,217825
18,sysbench_disk2,100,100,100,35,25,8723,8607571968,502,2,0,838.844442,910873903,1883641,0,0,892178432,217817
19,sysbench_disk2,100,100,100,34,77,8829,8607571968,439,2,0,831.0341758,913506988,1882998,0,0,894812160,218460
20,sysbench_disk2,100,100,100,35,23,8818,8607571968,620,2,0,832.758907,914153998,1882840,0,0,895459328,218618
EXPERIMENT,Hybrid,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk3,100,100,100,35,82,8526,8607571968,462,2,0,810.9668383,860628477,1895923,0,0,841920512,205547
2,sysbench_disk3,100,100,100,35,95,8725,8607571968,456,2,0,844.7777712,917528495,1882024,0,0,898834432,219442
3,sysbench_disk3,100,100,100,34,68,8859,8607571968,421,2,0,826.0713319,911148541,1883585,0,0,892452864,217884
4,sysbench_disk3,100,100,100,34,21,8856,8607571968,496,2,0,823.3035747,907786508,1884405,0,0,889090048,217063
5,sysbench_disk3,100,100,100,34,22,8831,8607571968,418,2,0,825.1291986,907221314,1884541,0,0,888524800,216925
6,sysbench_disk3,100,100,100,35,20,8808,8607571968,525,2,0,833.5743531,914006896,1882892,0,0,895311872,218582
7,sysbench_disk3,100,100,100,36,19,8727,8607571968,541,2,0,836.3956534,908527813,1884233,0,0,889831424,217244
8,sysbench_disk3,100,100,100,40,21,8671,8607571968,538,2,0,844.6656777,911177166,1883580,0,0,892481536,217891
9,sysbench_disk3,100,100,100,34,25,8914,8607571968,553,2,0,818.6859973,908630058,1884200,0,0,889933824,217269
10,sysbench_disk3,100,100,100,38,17,9125,8607571968,518,2,0,801.1001202,909838130,1883907,0,0,891142144,217564
11,sysbench_disk3,100,100,100,35,24,8598,8607571968,432,2,0,847.5282317,907061714,1884582,0,0,888365056,216886
12,sysbench_disk3,100,100,100,35,29,8868,8607571968,526,2,0,826.6546614,912618657,1883224,0,0,893923328,218243
13,sysbench_disk3,100,100,100,34,21,8849,8607571968,477,2,0,826.8560263,910980617,1883626,0,0,892284928,217843
14,sysbench_disk3,100,100,100,34,21,8935,8607571968,761,2,0,818.8266882,910935543,1883637,0,0,892239872,217832
