RAM,2048,,,,,,,,,,,,,,,,,
EXPERIMENT,Precopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
18,sysbench_disk19,100,100,100,11,206,7166,2165121024,0,4,0,900.5115997,805169473,338851,0,0,800555008,195448
19,sysbench_disk19,100,100,100,16,190,7200,2165121024,0,4,0,897.9789543,806160054,339024,0,0,801542144,195689
20,sysbench_disk19,100,100,100,12,258,7333,2165121024,0,5,0,900.5587925,823898498,339124,0,0,819245056,200011
EXPERIMENT,Postcopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk20,100,100,100,12,67,6365,2165121024,338,2,0,919.027774,729711800,351560,0,0,725131264,177034
2,sysbench_disk20,100,100,100,12,125,6905,2165121024,360,2,0,912.0280041,785715020,337884,0,0,781148160,190710
3,sysbench_disk20,100,100,100,12,22,6709,2165121024,414,2,0,933.1485047,781050757,339023,0,0,776482816,189571
4,sysbench_disk20,100,100,100,11,63,6791,2165121024,411,2,0,922.5947198,781787886,338843,0,0,777220096,189751
5,sysbench_disk20,100,100,100,12,24,6728,2165121024,394,2,0,926.6259107,777791195,339819,0,0,773222400,188775
6,sysbench_disk20,100,100,100,12,31,6744,2165121024,481,2,0,926.3458027,779408720,339424,0,0,774840320,189170
7,sysbench_disk20,100,100,100,12,26,6727,2165121024,423,2,0,929.9836152,780493866,339159,0,0,775925760,189435
8,sysbench_disk20,100,100,100,12,20,6755,2165121024,422,2,0,927.5358197,781685569,338868,0,0,777117696,189726
9,sysbench_disk20,100,100,100,12,19,6729,2165121024,433,2,0,929.5409558,780354694,339193,0,0,775786496,189401
10,sysbench_disk20,100,100,100,12,23,6727,2165121024,437,2,0,928.1005022,778913196,339545,0,0,774344704,189049
11,sysbench_disk20,100,100,100,12,24,6758,2165121024,409,2,0,926.2491159,780948382,339048,0,0,776380416,189546
12,sysbench_disk20,100,100,100,16,20,6807,2165121024,407,2,0,922.3400889,782840272,338586,0,0,778272768,190008
13,sysbench_disk20,100,100,100,12,27,6729,2165121024,594,2,0,927.8194337,778909111,339546,0,0,774340608,189048
14,sysbench_disk20,100,100,100,17,333,6934,2165121024,875,2,0,888.7206569,768298927,342137,0,0,763727872,186457
15,sysbench_disk20,100,100,100,17,20,6739,2165121024,401,2,0,929.4148718,780829685,339077,0,0,776261632,189517
16,sysbench_disk20,100,100,100,11,29,6761,2165121024,449,2,0,925.1323295,780469296,339165,0,0,775901184,189429
17,sysbench_disk20,100,100,100,12,23,6713,2165121024,383,2,0,928.5240018,777643746,339855,0,0,773074944,188739
18,sysbench_disk20,100,100,100,17,31,6763,2165121024,406,2,0,929.43963,783638797,338391,0,0,779071488,190203
19,sysbench_disk20,100,100,100,12,21,6730,2165121024,423,2,0,931.0655195,781751147,338852,0,0,777183232,189742
20,sysbench_disk20,100,100,100,11,27,6736,2165121024,380,2,0,929.6481154,781374262,338944,0,0,776806400,189650
EXPERIMENT,Hybrid,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk21,100,100,100,12,24,6445,2165121024,444,2,0,905.5777224,728086273,351965,0,0,723505152,176637
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
