RAM,2048,,,,,,,,,,,,,,,,,
EXPERIMENT,Precopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk19,100,100,100,12,206,6738,2165121024,0,4,0,894.1512186,751532390,351872,0,0,746905600,182350
2,sysbench_disk19,100,100,100,12,186,7202,2165121024,0,4,0,900.8232768,809389563,338069,0,0,804773888,196478
3,sysbench_disk19,100,100,100,12,169,7163,2165121024,0,4,0,899.8437377,804122244,339230,0,0,799506432,195192
4,sysbench_disk19,100,100,100,13,149,7136,2165121024,0,4,0,899.5687312,800728232,339690,0,0,796114944,194364
5,sysbench_disk19,100,100,100,13,286,7321,2165121024,0,4,0,900.8703503,822719988,339966,0,0,818061312,199722
6,sysbench_disk19,100,100,100,12,417,7382,2165121024,0,4,0,869.1932548,800518969,339691,0,0,795906048,194313
7,sysbench_disk19,100,100,100,12,476,7448,2165121024,0,4,0,870.0431899,808479566,339104,0,0,803856384,196254
8,sysbench_disk19,100,100,100,12,512,7475,2165121024,0,4,0,858.9420587,801060246,339640,0,0,796446720,194445
9,sysbench_disk19,100,100,100,12,442,7533,2165121024,0,5,0,878.0984763,825296953,339467,0,0,820637696,200351
10,sysbench_disk19,100,100,100,12,353,7404,2165121024,0,5,0,892.7478149,824673634,339524,0,0,820015104,200199
11,sysbench_disk19,100,100,100,11,198,7195,2165121024,0,4,0,896.4311604,804769595,339109,0,0,800153600,195350
12,sysbench_disk19,100,100,100,11,255,7327,2165121024,0,5,0,900.6731897,823440535,339769,0,0,818782208,199898
13,sysbench_disk19,100,100,100,12,484,7493,2165121024,0,4,0,877.671784,820507460,338998,0,0,815861760,199185
14,sysbench_disk19,100,100,100,12,290,7378,2165121024,0,4,0,901.7507782,830061702,339472,0,0,825393152,201512
15,sysbench_disk19,100,100,100,12,440,7415,2165121024,0,4,0,868.321353,803297285,339679,0,0,798679040,194990
16,sysbench_disk19,100,100,100,12,446,7409,2165121024,0,4,0,880.4198459,813832633,339723,0,0,809193472,197557
17,sysbench_disk19,100,100,100,12,363,7409,2165121024,0,4,0,891.031881,823645026,339692,0,0,818987008,199948
