RAM,1024,,,,,,,,,,,,,,,,,
EXPERIMENT,Precopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
6,sysbench_disk24,100,100,100,8,23,6501,1091379200,407,2,0,929.9337403,754645939,82767,0,0,752431104,183699
7,sysbench_disk24,100,100,100,9,26,6414,1091379200,706,2,0,927.2386773,742258733,85814,0,0,740040704,180674
8,sysbench_disk24,100,100,100,7,29,6519,1091379200,450,2,0,929.5948538,756578712,82294,0,0,754364416,184171
9,sysbench_disk24,100,100,100,8,28,6510,1091379200,446,2,0,930.4606054,756120164,82413,0,0,753905664,184059
10,sysbench_disk24,100,100,100,8,22,6505,1091379200,421,2,0,929.9005202,755084039,82656,0,0,752869376,183806
11,sysbench_disk24,100,100,100,8,20,6501,1091379200,477,2,0,929.6261574,754396169,82834,0,0,752181248,183638
12,sysbench_disk24,100,100,100,8,26,6530,1091379200,436,2,0,929.571356,757721343,82029,0,0,755507200,184450
13,sysbench_disk24,100,100,100,12,23,6504,1091379200,550,2,0,930.1021183,754666376,82761,0,0,752451584,183704
14,sysbench_disk24,100,100,100,8,22,6508,1091379200,453,2,0,929.5472874,755145574,82650,0,0,752930816,183821
15,sysbench_disk24,100,100,100,7,27,6502,1091379200,405,2,0,929.4555788,754490269,82800,0,0,752275456,183661
16,sysbench_disk24,100,100,100,12,21,6526,1091379200,454,2,0,928.5147657,755931717,82444,0,0,753717248,184013
17,sysbench_disk24,100,100,100,8,30,6503,1091379200,394,2,0,929.9399267,754883487,82710,0,0,752668672,183757
18,sysbench_disk24,100,100,100,14,26,6440,1091379200,687,2,0,927.6546281,745026879,85133,0,0,742809600,181350
19,sysbench_disk24,100,100,100,8,23,6545,1091379200,441,2,0,929.2220003,759179028,81658,0,0,756965376,184806
20,sysbench_disk24,100,100,100,9,28,6519,1091379200,414,2,0,930.1824664,756824457,82239,0,0,754610176,184231
