RAM,6144
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,27,240,9237,6460088320,0,4,0,797.0209780673181,917356429,1368015,0,0,903278592,220527,
2,sysbench_disk,100,100,100,27,222,9197,6460088320,0,4,0,781.8495057797164,895981004,1367814,0,0,881946624,215319,
3,sysbench_disk,100,100,100,27,209,9092,6460088320,0,4,0,793.6854159955875,899130605,1367567,0,0,885092352,216087,
4,sysbench_disk,100,100,100,27,161,9076,6460088320,0,4,0,790.8927527903636,894384343,1367793,0,0,880353280,214930,
5,sysbench_disk,100,100,100,27,261,9121,6460088320,0,4,0,788.7693723334066,896419622,1367760,0,0,882384896,215426,
6,sysbench_disk,100,100,100,27,344,9274,6460088320,0,4,0,791.3925943549259,914536713,1368443,0,0,900460544,219839,
7,sysbench_disk,100,100,100,27,220,9151,6460088320,0,4,0,782.3820780359491,892092548,1368510,0,0,878059520,214370,
8,sysbench_disk,100,100,100,27,271,9230,6460088320,0,4,0,794.3127510594371,913543299,1368413,0,0,899469312,219597,
9,sysbench_disk,100,100,100,28,288,9272,6460088320,0,5,0,791.0398433578537,913832327,1368609,0,0,899756032,219667,
10,sysbench_disk,100,100,100,27,278,9272,6460088320,0,4,0,796.3748880475933,920096758,1366976,0,0,906022912,221197,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,27,17,8010,6460088320,355,2,0,876.1927816610297,874222501,1367151,0,0,860237824,210019,
2,sysbench_disk,100,100,100,27,19,8055,6460088320,316,2,0,869.3186158445442,872252806,1367632,0,0,858267648,209538,
3,sysbench_disk,100,100,100,27,21,7919,6460088320,341,2,0,885.6193015712113,873555016,1367314,0,0,859570176,209856,
4,sysbench_disk,100,100,100,35,23,7949,6460088320,415,2,0,885.3637119029569,875737651,1366781,0,0,861753344,210389,
5,sysbench_disk,100,100,100,27,18,7917,6460088320,355,2,0,883.867391634981,871605796,1367790,0,0,857620480,209380,
6,sysbench_disk,100,100,100,32,18,7947,6460088320,335,2,0,883.7742544535691,874275736,1367138,0,0,860291072,210032,
7,sysbench_disk,100,100,100,27,18,8026,6460088320,381,2,0,875.9965495686961,875778601,1366771,0,0,861794304,210399,
8,sysbench_disk,100,100,100,27,21,7873,6460088320,350,2,0,890.8282651032373,873571396,1367310,0,0,859586560,209860,
9,sysbench_disk,100,100,100,36,5,8022,6460088320,354,2,0,875.3385845229151,873698341,1367279,0,0,859713536,209891,
10,sysbench_disk,100,100,100,26,19,7919,6460088320,374,2,0,883.5065592296972,871581226,1367796,0,0,857595904,209374,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,32,23,8081,6460088320,390,2,0,868.5284939744067,873739524,1367282,0,0,859754496,209901,
2,sysbench_disk,100,100,100,27,14,8117,6460088320,382,2,0,865.3943822002473,875021306,1366971,0,0,861036544,210214,
3,sysbench_disk,100,100,100,27,14,8272,6460088320,401,2,0,847.5439728320194,873391424,1367361,0,0,859406336,209816,
4,sysbench_disk,100,100,100,27,112,8183,6460088320,321,2,0,853.6035036782737,870140057,1368162,0,0,856154112,209022,
5,sysbench_disk,100,100,100,27,82,8220,6460088320,390,2,0,852.1715181252288,872621573,1367550,0,0,858636288,209628,
6,sysbench_disk,100,100,100,33,22,8100,6460088320,362,2,0,867.1915140696665,874345566,1367132,0,0,860360704,210049,
7,sysbench_disk,100,100,100,34,59,8201,6460088320,341,2,0,855.6306913187216,873383259,1367369,0,0,859398144,209814,
8,sysbench_disk,100,100,100,28,21,8227,6460088320,357,2,0,854.4847557019149,875631411,1366818,0,0,861646848,210363,
9,sysbench_disk,100,100,100,33,22,8200,6460088320,349,2,0,854.4914362679074,872220284,1367652,0,0,858234880,209530,
10,sysbench_disk,100,100,100,27,24,8235,6460088320,320,2,0,851.508328460039,873538860,1367330,0,0,859553792,209852,
