RAM,7168
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,31,306,9804,7533830144,0,4,0,766.2810060370408,935893972,1626078,0,0,919461888,224478,
2,sysbench_disk,100,100,100,31,287,9632,7533830144,0,4,0,778.0392650765544,933530321,1626563,0,0,917098496,223901,
3,sysbench_disk,100,100,100,32,347,9691,7533830144,0,4,0,770.8763118335231,930522475,1627061,0,0,914092032,223167,
4,sysbench_disk,100,100,100,31,318,9692,7533830144,0,4,0,770.7074853534831,930511305,1627187,0,0,914079744,223164,
5,sysbench_disk,100,100,100,31,280,9692,7533830144,0,4,0,774.3371783459269,934894883,1626333,0,0,918462464,224234,
6,sysbench_disk,100,100,100,31,331,9661,7533830144,0,4,0,774.1856132917964,931711870,1627432,0,0,915275776,223456,
7,sysbench_disk,100,100,100,31,175,9495,7533830144,0,4,0,772.0905435333897,913168811,1625933,0,0,896782336,218941,
8,sysbench_disk,100,100,100,31,190,9508,7533830144,0,4,0,770.4444191199747,912473426,1626188,0,0,896086016,218771,
9,sysbench_disk,100,100,100,31,295,9731,7533830144,0,4,0,770.6310424742268,934175817,1626235,0,0,917745664,224059,
10,sysbench_disk,100,100,100,31,300,9786,7533830144,0,4,0,769.1026091235263,937610162,1625700,0,0,921178112,224897,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,31,18,8238,7533830144,379,2,0,868.3414957962715,890701415,1625847,0,0,874360832,213467,
2,sysbench_disk,100,100,100,31,24,8141,7533830144,344,2,0,880.1531778051788,892146921,1625494,0,0,875806720,213820,
3,sysbench_disk,100,100,100,36,19,8107,7533830144,365,2,0,883.4685853054144,891200976,1625725,0,0,874860544,213589,
4,sysbench_disk,100,100,100,31,29,8247,7533830144,367,2,0,867.6653320350536,890983941,1625778,0,0,874643456,213536,
5,sysbench_disk,100,100,100,30,24,8345,7533830144,346,2,0,858.4655134095009,892159206,1625491,0,0,875819008,213823,
6,sysbench_disk,100,100,100,30,24,8222,7533830144,361,2,0,867.216142578125,887920881,1626526,0,0,871579648,212788,
7,sysbench_disk,100,100,100,31,17,8279,7533830144,489,2,0,862.6388360814743,889272231,1626196,0,0,872931328,213118,
8,sysbench_disk,100,100,100,31,18,8171,7533830144,364,2,0,876.2574506142506,891483531,1625656,0,0,875143168,213658,
9,sysbench_disk,100,100,100,31,17,8225,7533830144,309,2,0,870.3987141811082,891397536,1625677,0,0,875057152,213637,
10,sysbench_disk,100,100,100,30,19,8263,7533830144,364,2,0,863.0485567836754,888076491,1626488,0,0,871735296,212826,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,31,28,8487,7533830144,366,2,0,846.4100908230843,894546797,1624918,0,0,878206976,214406,
2,sysbench_disk,100,100,100,30,20,8468,7533830144,368,2,0,843.308268310026,889370735,1626184,0,0,873029632,213142,
3,sysbench_disk,100,100,100,30,27,8374,7533830144,411,2,0,852.7143969319272,889272447,1626206,0,0,872931328,213118,
4,sysbench_disk,100,100,100,31,66,8688,7533830144,404,2,0,824.0218542220168,891586076,1625637,0,0,875245568,213683,
5,sysbench_disk,100,100,100,37,124,8652,7533830144,340,2,0,826.4420624492165,889866137,1626060,0,0,873525248,213263,
6,sysbench_disk,100,100,100,31,26,8429,7533830144,409,2,0,849.5329049773756,891688496,1625617,0,0,875347968,213708,
7,sysbench_disk,100,100,100,31,70,8590,7533830144,359,2,0,834.3526832573899,892544378,1625411,0,0,876204032,213917,
8,sysbench_disk,100,100,100,34,70,8564,7533830144,337,2,0,836.3365617819461,891635214,1625628,0,0,875294720,213695,
9,sysbench_disk,100,100,100,31,85,8594,7533830144,411,2,0,830.5541151465608,888895668,1626298,0,0,872554496,213026,
10,sysbench_disk,100,100,100,31,20,8644,7533830144,337,2,0,827.413749448508,890705667,1625857,0,0,874364928,213468,
