RAM,8192
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,35,504,9715,8607571968,0,4,0,711.8661991735537,861143817,1896955,0,0,842424320,205670,
2,sysbench_disk,100,100,100,35,166,9956,8607571968,0,4,0,755.6195980243928,936848612,1883078,0,0,918106112,224147,
3,sysbench_disk,100,100,100,35,248,10092,8607571968,0,4,0,755.9473998210202,950106243,1885093,0,0,931319808,227373,
4,sysbench_disk,100,100,100,35,270,10102,8607571968,0,4,0,754.3731717492799,949070218,1884892,0,0,930287616,227121,
5,sysbench_disk,100,100,100,44,290,10466,8607571968,0,4,0,746.835064287085,972724938,1888908,0,0,953860096,232876,
6,sysbench_disk,100,100,100,35,266,10091,8607571968,0,4,0,756.5794136833731,950806181,1884887,0,0,932020224,227544,
7,sysbench_disk,100,100,100,35,261,10090,8607571968,0,4,0,758.9906856290403,953742036,1884598,0,0,934952960,228260,
8,sysbench_disk,100,100,100,35,549,10392,8607571968,0,4,0,735.2739866756783,951689703,1884561,0,0,932904960,227760,
9,sysbench_disk,100,100,100,34,269,10088,8607571968,0,4,0,755.5031939526557,949264237,1885471,0,0,930476032,227167,
10,sysbench_disk,100,100,100,35,268,10111,8607571968,0,4,0,756.1269757840413,952127534,1884872,0,0,933339136,227866,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,34,18,8698,8607571968,327,2,0,839.2144469067406,908760883,1884157,0,0,890064896,217301,
2,sysbench_disk,100,100,100,35,25,8537,8607571968,351,2,0,854.5270326981887,908040163,1884333,0,0,889344000,217125,
3,sysbench_disk,100,100,100,34,23,8470,8607571968,344,2,0,861.8648515884306,908728123,1884165,0,0,890032128,217293,
4,sysbench_disk,100,100,100,34,67,8693,8607571968,476,2,0,839.5704612541864,908621653,1884191,0,0,889925632,217267,
5,sysbench_disk,100,100,100,35,4,8441,8607571968,366,2,0,862.3997734951225,906058183,1884817,0,0,887361536,216641,
6,sysbench_disk,100,100,100,35,20,8552,8607571968,344,2,0,853.2643710226605,908298148,1884270,0,0,889602048,217188,
7,sysbench_disk,100,100,100,35,76,8647,8607571968,358,2,0,842.0487886669763,906357118,1884744,0,0,887660544,216714,
8,sysbench_disk,100,100,100,34,21,8606,8607571968,319,2,0,849.1539281381242,909760063,1883913,0,0,891064320,217545,
9,sysbench_disk,100,100,100,35,18,8527,8607571968,376,2,0,857.2114112105512,909821488,1883898,0,0,891125760,217560,
10,sysbench_disk,100,100,100,36,23,8855,8607571968,344,2,0,827.4439768681256,912045073,1883355,0,0,893349888,218103,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,40,77,8723,8607571968,359,2,0,838.5970986986065,910083739,1883841,0,0,891387904,217624,
2,sysbench_disk,100,100,100,34,21,8763,8607571968,326,2,0,830.7964623668232,906394199,1884744,0,0,887697408,216723,
3,sysbench_disk,100,100,100,35,143,8733,8607571968,326,2,0,836.5897742009657,909473601,1883991,0,0,890777600,217475,
4,sysbench_disk,100,100,100,35,19,8879,8607571968,374,2,0,821.9752473993668,908585015,1884208,0,0,889888768,217258,
5,sysbench_disk,100,100,100,34,19,8732,8607571968,352,2,0,833.7311584272246,906365541,1884755,0,0,887668736,216716,
6,sysbench_disk,100,100,100,35,20,8870,8607571968,377,2,0,820.8214202603282,906386009,1884746,0,0,887689216,216721,
7,sysbench_disk,100,100,100,34,4,8661,8607571968,381,2,0,840.5509224527646,906320480,1884761,0,0,887623680,216705,
8,sysbench_disk,100,100,100,34,19,8742,8607571968,431,2,0,834.6660477721636,908425308,1884250,0,0,889729024,217219,
9,sysbench_disk,100,100,100,41,73,8924,8607571968,310,2,0,821.2615665878644,911799597,1883427,0,0,893104128,218043,
10,sysbench_disk,100,100,100,34,20,8820,8607571968,323,2,0,826.2902890962896,907364703,1884509,0,0,888668160,216960,
