RAM,1024
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,7,182,5365,1091379200,0,3,0,925.0083150429265,619299350,116360,0,0,617046016,150646,
2,sysbench_disk,100,100,100,7,163,5354,1091379200,0,3,0,925.0115698522536,618029659,116645,0,0,615776256,150336,
3,sysbench_disk,100,100,100,7,158,5381,1091379200,0,3,0,924.4989371045775,620807202,116092,0,0,618553344,151014,
4,sysbench_disk,100,100,100,7,146,5377,1091379200,0,4,0,925.1138338919926,620757702,116064,0,0,618504192,151002,
5,sysbench_disk,100,100,100,8,572,5733,1091379200,0,3,0,864.6994179912664,618575542,116648,0,0,616321024,150469,
6,sysbench_disk,100,100,100,7,161,5365,1091379200,0,3,0,925.1778230683091,619413148,116238,0,0,617160704,150674,
7,sysbench_disk,100,100,100,8,138,5358,1091379200,0,4,0,925.751216448598,618871167,116665,0,0,616615936,150541,
8,sysbench_disk,100,100,100,8,174,5380,1091379200,0,4,0,924.5249084139986,620593777,116091,0,0,618340352,150962,
9,sysbench_disk,100,100,100,7,705,5846,1091379200,0,3,0,845.0611323856824,616564055,117049,0,0,614309888,149978,
10,sysbench_disk,100,100,100,8,191,5376,1091379200,0,3,0,922.6628807749627,618882094,116512,0,0,616628224,150544,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,7,24,5323,1091379200,194,2,0,929.8749014296463,617790779,116171,0,0,615542784,150279,
2,sysbench_disk,100,100,100,8,24,5266,1091379200,207,2,0,935.6649296310385,614854674,116888,0,0,612605952,149562,
3,sysbench_disk,100,100,100,8,25,5247,1091379200,242,2,0,934.8936422981485,612127365,117554,0,0,609878016,148896,
4,sysbench_disk,100,100,100,11,20,5290,1091379200,289,2,0,935.5544156090169,617237925,116306,0,0,614989824,150144,
5,sysbench_disk,100,100,100,11,22,5304,1091379200,169,2,0,934.8562856603061,618413229,116019,0,0,616165376,150431,
6,sysbench_disk,100,100,100,7,21,5316,1091379200,207,2,0,932.4338655113958,618675299,115955,0,0,616427520,150495,
7,sysbench_disk,100,100,100,8,22,5286,1091379200,204,2,0,935.0117423266389,616762944,116422,0,0,614514688,150028,
8,sysbench_disk,100,100,100,8,21,5255,1091379200,220,2,0,936.0405976748618,613814534,117142,0,0,611565568,149308,
9,10,sysbench_disk,100,100,100,6,137,2341,1091379200,214,2,0,864.7068128479657,252275174,205430,0,0,249937920,61020,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,7,22,5378,1091379200,360,2,0,920.2927976168312,617750138,116196,0,0,615501824,150269,
2,sysbench_disk,100,100,100,7,23,5382,1091379200,186,2,0,919.6077023255814,617750018,116194,0,0,615501824,150269,
3,sysbench_disk,100,100,100,7,28,5380,1091379200,181,2,0,920.4863740926857,618110388,116099,0,0,615862272,150357,
4,sysbench_disk,100,100,100,11,23,5392,1091379200,201,2,0,919.0572399182308,618069461,116118,0,0,615821312,150347,
5,sysbench_disk,100,100,100,7,22,5322,1091379200,214,2,0,920.0409181561618,611140722,117809,0,0,608890880,148655,
6,sysbench_disk,100,100,100,8,22,5378,1091379200,166,2,0,920.7752268156424,617958932,116149,0,0,615710720,150320,
7,sysbench_disk,100,100,100,8,65,5379,1091379200,139,2,0,912.9732995717743,612836042,117395,0,0,610586624,149069,
8,sysbench_disk,100,100,100,7,23,5381,1091379200,204,2,0,920.9734975809453,618552626,115995,0,0,616304640,150465,
9,sysbench_disk,100,100,100,7,23,5391,1091379200,189,2,0,921.0217488855869,619736182,115714,0,0,617488384,150754,
10,sysbench_disk,100,100,100,7,27,5385,1091379200,202,2,0,919.4844343622163,618012066,116128,0,0,615763968,150333,
