RAM,7168
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,33,271,9026,7533830144,0,4,0,760.8524567997331,855067601,1645451,0,0,838619136,204741,
2,sysbench_disk,100,100,100,31,444,9076,7533830144,0,4,0,733.0590974018795,828589075,1646877,0,0,812179456,198286,
3,sysbench_disk,100,100,100,31,236,9032,7533830144,0,5,0,762.3748045772693,857541055,1645313,0,0,841089024,205344,
4,sysbench_disk,100,100,100,36,252,9121,7533830144,0,4,0,741.805763346175,842187493,1648903,0,0,825733120,201595,
5,sysbench_disk,100,100,100,30,280,9036,7533830144,0,4,0,758.968813679769,854183235,1645685,0,0,837734400,204525,
6,sysbench_disk,100,100,100,31,266,9046,7533830144,0,4,0,763.1168754298392,859711412,1644782,0,0,843259904,205874,
7,sysbench_disk,100,100,100,31,309,9088,7533830144,0,4,0,757.4626176438114,857316459,1645437,0,0,840863744,205289,
8,sysbench_disk,100,100,100,30,279,9054,7533830144,0,4,0,761.4049175531916,858639110,1644656,0,0,842190848,205613,
9,sysbench_disk,100,100,100,31,275,9091,7533830144,0,4,0,753.7070490066225,853347556,1645854,0,0,836898816,204321,
10,sysbench_disk,100,100,100,31,313,9101,7533830144,0,4,0,756.3563651598677,857293132,1645126,0,0,840843264,205284,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,31,20,7640,7533830144,375,2,0,855.9217621238008,813977495,1644583,0,0,797618176,194731,
2,sysbench_disk,100,100,100,30,21,7649,7533830144,367,2,0,850.5028890930568,809886590,1645582,0,0,793526272,193732,
3,sysbench_disk,100,100,100,31,21,7538,7533830144,514,2,0,862.9388112428401,809649100,1645640,0,0,793288704,193674,
4,sysbench_disk,100,100,100,30,18,7568,7533830144,432,2,0,860.0157697001857,810238760,1645496,0,0,793878528,193818,
5,sysbench_disk,100,100,100,30,21,7550,7533830144,394,2,0,863.8212574468085,811880797,1645095,0,0,795521024,194219,
6,sysbench_disk,100,100,100,43,606,8008,7533830144,1050,2,0,795.4927437539235,791901292,1649974,0,0,775536640,189340,
7,sysbench_disk,100,100,100,31,22,7686,7533830144,382,2,0,847.0637826257348,810423036,1645451,0,0,794062848,193863,
8,sysbench_disk,100,100,100,30,17,7734,7533830144,366,2,0,844.7761422637591,813408232,1644722,0,0,797048832,194592,
9,sysbench_disk,100,100,100,36,20,7552,7533830144,403,2,0,866.7741543374135,814223195,1644523,0,0,797863936,194791,
10,sysbench_disk,100,100,100,31,22,7612,7533830144,385,2,0,860.5998258804907,815414811,1644232,0,0,799055872,195082,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,39,25,7873,7533830144,531,2,0,828.9809037528721,811668131,1645159,0,0,795308032,194167,
2,sysbench_disk,100,100,100,34,24,7589,7533830144,356,2,0,857.9206967571145,810087469,1645545,0,0,793726976,193781,
3,sysbench_disk,100,100,100,30,28,7946,7533830144,374,2,0,818.1094633653361,809407791,1645718,0,0,793047040,193615,
4,sysbench_disk,100,100,100,31,26,7938,7533830144,378,2,0,823.5440050588086,813858957,1644620,0,0,797499392,194702,
5,sysbench_disk,100,100,100,40,19,7808,7533830144,346,2,0,835.3283903192585,810992424,1645326,0,0,794632192,194002,
6,sysbench_disk,100,100,100,30,17,7871,7533830144,361,2,0,830.5553822216555,813936713,1644602,0,0,797577216,194721,
7,sysbench_disk,100,100,100,31,21,7797,7533830144,400,2,0,837.530408447077,812921191,1644851,0,0,796561408,194473,
8,sysbench_disk,100,100,100,39,21,7705,7533830144,507,2,0,850.1393435950952,814534591,1644461,0,0,798175232,194867,
9,sysbench_disk,100,100,100,30,21,7820,7533830144,390,2,0,835.1435840821566,813109548,1644810,0,0,796749824,194519,
10,sysbench_disk,100,100,100,30,20,7863,7533830144,368,2,0,831.4078651857526,813940835,1644604,0,0,797581312,194722,
