RAM,5120
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,23,283,8089,5386346496,0,4,0,802.5129918175055,808907987,1130885,0,0,797171712,194622,
2,sysbench_disk,100,100,100,23,334,8218,5386346496,0,4,0,800.9720004881026,820269946,1128836,0,0,808529920,197395,
3,sysbench_disk,100,100,100,23,258,8103,5386346496,0,4,0,808.1810207920792,816037114,1129572,0,0,804298752,196362,
4,sysbench_disk,100,100,100,23,274,8130,5386346496,0,5,0,807.5132542247441,818088257,1129019,0,0,806350848,196863,
5,sysbench_disk,100,100,100,23,354,8164,5386346496,0,4,0,779.7541373295664,793271587,1129957,0,0,781574144,190814,
6,sysbench_disk,100,100,100,23,161,7974,5386346496,0,4,0,805.8396579046661,800678173,1128007,0,0,788983808,192623,
7,sysbench_disk,100,100,100,23,384,8287,5386346496,0,4,0,796.9952100677638,823070305,1128539,0,0,811327488,198078,
8,sysbench_disk,100,100,100,23,278,8164,5386346496,0,4,0,800.8767139172091,814766429,1129743,0,0,803028992,196052,
9,sysbench_disk,100,100,100,22,172,6540,5386346496,0,3,0,751.5190401963793,612075189,1169119,0,0,600379392,146577,
10,sysbench_disk,100,100,100,29,481,8108,5386346496,0,4,0,723.979174650328,730903362,1150060,0,0,719147008,175573,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,23,19,6430,5386346496,239,2,0,883.5706933041986,707518570,1145140,0,0,695853056,169886,
2,sysbench_disk,100,100,100,23,19,6331,5386346496,240,2,0,894.8358655675333,705467019,1145641,0,0,693800960,169385,
3,sysbench_disk,100,100,100,29,21,6470,5386346496,226,2,0,880.2188206800187,708575109,1144882,0,0,696909824,170144,
4,sysbench_disk,100,100,100,29,18,6401,5386346496,256,2,0,886.6347507846831,706093510,1145488,0,0,694427648,169538,
5,sysbench_disk,100,100,100,23,23,6477,5386346496,214,2,0,877.8316653238302,708079643,1145003,0,0,696414208,170023,
6,sysbench_disk,100,100,100,29,24,6547,5386346496,233,2,0,867.935634243633,707039513,1145257,0,0,695373824,169769,
7,sysbench_disk,100,100,100,22,25,6501,5386346496,323,2,0,874.9450853526779,708485058,1144904,0,0,696819712,170122,
8,sysbench_disk,100,100,100,23,22,6486,5386346496,234,2,0,867.348485842488,700598049,1146830,0,0,688930816,168196,
9,sysbench_disk,100,100,100,31,19,6403,5386346496,253,2,0,890.0897677338355,708845447,1144816,0,0,697180160,170210,
10,sysbench_disk,100,100,100,30,53,6546,5386346496,241,2,0,871.3292829957029,709586632,1144635,0,0,697921536,170391,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,23,22,6668,5386346496,211,2,0,846.0286627539504,702621183,1146349,0,0,690954240,168690,
2,sysbench_disk,100,100,100,22,22,6702,5386346496,361,2,0,848.1478838323353,708092132,1145013,0,0,696426496,170026,
3,sysbench_disk,100,100,100,30,23,6705,5386346496,217,2,0,844.2628925842696,704320594,1145926,0,0,692654080,169105,
4,sysbench_disk,100,100,100,31,21,6812,5386346496,291,2,0,834.650351275623,707359207,1145188,0,0,695693312,169847,
5,sysbench_disk,100,100,100,22,80,6649,5386346496,230,2,0,847.8667728987476,702240341,1146438,0,0,690573312,168597,
6,sysbench_disk,100,100,100,29,134,6657,5386346496,501,2,0,827.4397863608932,685422280,1150563,0,0,673751040,164490,
7,sysbench_disk,100,100,100,22,22,6577,5386346496,231,2,0,863.2570837528605,707219906,1145227,0,0,695554048,169813,
8,sysbench_disk,100,100,100,22,24,6714,5386346496,238,2,0,848.4480777047221,709615512,1144639,0,0,697950208,170398,
9,sysbench_disk,100,100,100,23,22,6619,5386346496,234,2,0,858.5317113402062,707748067,1145094,0,0,696082432,169942,
