RAM,6144
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,27,263,8695,6460088320,0,4,0,775.7779640055376,840329597,1386847,0,0,826232832,201717,
2,3,sysbench_disk,100,100,100,26,310,13108,6460088320,0,8,0,809.9072942975081,1324174702,1505769,0,0,1308065792,319352,
4,sysbench_disk,100,100,100,27,933,9334,6460088320,0,5,0,723.522678414097,841502379,1386741,0,0,827404288,202003,
5,sysbench_disk,100,100,100,26,275,8584,6460088320,0,4,0,784.2479616732882,838723420,1386678,0,0,824631296,201326,
6,sysbench_disk,100,100,100,27,267,8582,6460088320,0,4,0,782.6480317942724,836718662,1387368,0,0,822624256,200836,
7,sysbench_disk,100,100,100,26,284,8603,6460088320,0,4,0,781.5486179316778,837691995,1386989,0,0,823599104,201074,
8,sysbench_disk,100,100,100,26,253,8629,6460088320,0,4,0,782.729885853772,841502334,1386736,0,0,827404288,202003,
9,sysbench_disk,100,100,100,27,286,8722,6460088320,0,5,0,773.2563717078781,840207662,1386976,0,0,826109952,201687,
10,sysbench_disk,100,100,100,27,226,8571,6460088320,0,4,0,783.2874129213484,836325400,1387450,0,0,822231040,200740,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,35,22,7298,6460088320,391,2,0,874.5089257882418,793833614,1386782,0,0,779829248,190388,
2,sysbench_disk,100,100,100,27,21,7241,6460088320,402,2,0,882.474224563349,795659955,1386336,0,0,781656064,190834,
3,sysbench_disk,100,100,100,26,20,7437,6460088320,431,2,0,859.7367102955067,796327440,1386173,0,0,782323712,190997,
4,sysbench_disk,100,100,100,26,21,7442,6460088320,387,2,0,860.6414012944983,797703418,1385837,0,0,783699968,191333,
5,sysbench_disk,100,100,100,36,18,7307,6460088320,410,2,0,877.6377543666621,797551845,1385874,0,0,783548416,191296,
6,sysbench_disk,100,100,100,27,20,7327,6460088320,565,2,0,870.906658630137,794591189,1386597,0,0,780587008,190573,
7,sysbench_disk,100,100,100,31,25,7256,6460088320,687,2,0,857.1217428373702,773976959,1391631,0,0,759967744,185539,
8,sysbench_disk,100,100,100,35,18,7199,6460088320,379,2,0,885.6975667225014,793030994,1386978,0,0,779026432,190192,
9,sysbench_disk,100,100,100,34,22,7325,6460088320,442,2,0,870.3506273487862,793104704,1386960,0,0,779100160,190210,
10,sysbench_disk,100,100,100,31,21,7328,6460088320,400,2,0,871.8708641907633,795144043,1386462,0,0,781139968,190708,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,2,sysbench_disk,100,100,100,25,19,4093,6460088320,268,2,0,725.0099390363815,368553565,1490864,0,0,354443264,86534,
3,sysbench_disk,100,100,100,27,23,7469,6460088320,652,2,0,857.278358505778,797371842,1385928,0,0,783368192,191252,
4,sysbench_disk,100,100,100,27,24,7470,6460088320,397,2,0,854.1218745129652,794542266,1386617,0,0,780537856,190561,
5,sysbench_disk,100,100,100,27,20,7450,6460088320,447,2,0,855.002020746329,793223681,1386940,0,0,779218944,190239,
6,sysbench_disk,100,100,100,27,23,7520,6460088320,366,2,0,846.0177338849593,792290027,1387166,0,0,778285056,190011,
7,sysbench_disk,100,100,100,27,23,7483,6460088320,349,2,0,849.0428959227468,791196582,1387436,0,0,777191424,189744,
8,sysbench_disk,100,100,100,27,23,7609,6460088320,453,2,0,841.742790820364,797650325,1385861,0,0,783646720,191320,
9,sysbench_disk,100,100,100,26,22,7524,6460088320,357,2,0,848.4859194451853,795131951,1386480,0,0,781127680,190705,
10,sysbench_disk,100,100,100,27,20,7619,6460088320,597,2,0,837.0309557428873,794231028,1386691,0,0,780226560,190485,
